a		ˈeɪ
a's		ˈeɪz
aaa		ˌtɹɪpəˈɫeɪ
aaberg		ˈɑbɝɡ
aachen		ˈɑkən
aachener		ˈɑkənɝ
aah	ˈɑː	
aaker		ˈɑkɝ
aaliyah		ˌɑˈɫiˌɑ
aalseth		ˈɑɫsɛθ
aamodt		ˈɑmət
aancor		ˈɑnˌkɔɹ
aardema		ɑɹˈdɛmə
aardvark	ˈɑːdvɑːk	ˈɑɹdˌvɑɹk
aardvarks	ˈɑːdvɑːks	ˈɑɹdˌvɑɹks
aardwolf	ˈɑːdwʊlf	
aargh		ˈɑɹɡ
aarhus		ˌɑˈhus
aaron		ˈɛɹən
aaron's		ˈɛɹənz
aarons		ˈɛɹənz
aaronson		ˈɑɹənsən
aaronson's		ˈɑɹənsənz
aarti		ˈɑɹˌti
aase		ˈɑs
aasen		ˈɑsən
ab		ˈæb
aba	ɐbˈæ	ˌeɪˌbiˈeɪ
ababa		ˈɑbəbə
abaca	æbˈækɐ	
abacha		ˈæbəkə
aback	ɐbˈæk	əˈbæk
abaco		ˈæbəˌkoʊ
abacus	ˈæbækəs	ˈæbəkəs
abacuses	ˈæbɐkəsɪz	
abad		əˈbɑd
abadaka		əˈbædəkə
abadi		əˈbædi
abadie		əˈbædi
abair		əˈbɛɹ
abalkin		əˈbɑɫkɪn
abalone	ɐbˈæləʊn	ˌæbəˈɫoʊni
abalones		ˌæbəˈɫoʊniz
abalos		ɑˈbɑɫoʊz
abandon	ɐbˈændən	əˈbændən
abandoned	ɐbˈændənd	əˈbændənd
abandoning	ɐbˈændənɪŋ	əˈbændənɪŋ
abandonment	ɐbˈændənmənt	əˈbændənmənt
abandonments		əˈbændənmənts
abandons	ɐbˈændənz	əˈbændənz
abanto		əˈbæntoʊ
abarca		əˈbɑɹkə
abare		ɑˈbɑɹi
abas	ɐbˈæz	
abascal		ˈæbəskəɫ
abase	ɐbˈeɪs	
abasement	ɐbˈeɪsmənt	
abash		əˈbæʃ
abashed	ɐbˈæʃt	əˈbæʃt
abasia		əˈbeɪʒjə
abate	ɐbˈeɪt	əˈbeɪt
abated	ɐbˈeɪtɪd	əˈbeɪtɪd
abatement	ɐbˈeɪtmənt	əˈbeɪtmənt
abatements		əˈbeɪtmənts
abates	ɐbˈeɪts	əˈbeɪts
abating	ɐbˈeɪtɪŋ	əˈbeɪtɪŋ
abattoir	ˈæbɐtwˌɑː	ˌæbətˈwɑɹ
abattoirs	ˈæbɐtwˌɑːz	
abb	ˈæb	
abba	ˈæbɐ	ˈæbə
abbado		əˈbɑdoʊ
abbas		əˈbɑs
abbasi		ɑˈbɑsi
abbate		ˈɑbeɪt
abbatiello		ɑbɑtiˈɛɫoʊ
abbe		ˈæbi
abbenhaus		ˈæbənˌhaʊs
abbess	ˈæbɛs	
abbesses	ˈæbɛsɪz	
abbett		əˈbɛt
abbeville		ˈæbvɪɫ
abbey	ˈæbi	ˈæbi
abbey's		ˈæbiz
abbeys	ˈæbiz	
abbie		ˈæbi
abbitt		ˈæbɪt
abbot	ˈæbət	ˈæbət
abbots	ˈæbəts	
abbotstown		ˈæbətˈstaʊn
abbott		ˈæbət
abbott's		ˈæbəts
abbottstown		ˈæbətˈstaʊn
abboud		əˈbaʊd
abbreviate	ɐbɹˈiːvɪˌeɪt	əˈbɹiviˌeɪt
abbreviated	ɐbɹˈiːvɪˌeɪtɪd	əˈbɹiviˌeɪtɪd
abbreviates	ɐbɹˈiːvɪˌeɪts	əˈbɹiviˌeɪts
abbreviating	ɐbɹˈiːvɪˌeɪtɪŋ	əˈbɹiviˌeɪtɪŋ
abbreviation	ɐbɹˌiːvɪˈeɪʃən	əˌbɹiviˈeɪʃən
abbreviations	ɐbɹˌiːvɪˈeɪʃənz	əˌbɹiviˈeɪʃənz
abbruzzese		ɑbɹutˈseɪzi
abbs		ˈæbz
abby		ˈæbi
abc		ˈeɪˌbiˌsi
abc's		ˈeɪˌbiˌsiz
abco		ˈæbkoʊ
abcotek		ˈæbkoʊˌtɛk
abcs		ˈeɪˌbiˌsiz
abd		ˌeɪˌbiˈdi
abdalla		ˌæbˈdæɫə
abdallah		ˌæbˈdæɫə
abdel		ˈæbˌdɛɫ
abdella		ˌæbˈdɛɫə
abdicate	ˈæbdɪkˌeɪt	ˈæbdəˌkeɪt
abdicated	ˈæbdɪkˌeɪtɪd	ˈæbdəˌkeɪtɪd
abdicates	ˈæbdɪkˌeɪts	ˈæbdəˌkeɪts
abdicating	ˈæbdɪkˌeɪtɪŋ	ˈæbdɪˌkeɪtɪŋ
abdication	ˌæbdɪkˈeɪʃən	ˌæbdɪˈkeɪʃən
abdnor		ˈæbdnɝ
abdo		ˈæbdoʊ
abdollah		ˌæbˈdɑɫə
abdomen	ˈæbdəmən	ˈæbdəmən
abdomens	ˈæbdəmənz	
abdominal	æbdˈɒmɪnəl	æbˈdɑmənəɫ
abduct	ɐbdˈʌkt	æbˈdəkt
abducted	ɐbdˈʌktɪd	æbˈdəktɪd
abductee		æbˌdəkˈti
abductees		æbˌdəkˈtiz
abducting	ɐbdˈʌktɪŋ	æbˈdəktɪŋ
abduction	ɐbdˈʌkʃən	æbˈdəkʃən
abductions	ɐbdˈʌkʃənz	æbˈdəkʃənz
abductor	ɐbdˈʌktɐ	æbˈdəktɝ
abductors	ɐbdˈʌktəz	æbˈdəktɝz
abducts	ɐbdˈʌkts	æbˈdəkts
abdul		æbˈduɫ
abdulaziz		æbˌduɫəˈziz
abdulla		ɑbˈduɫə
abdullah		ˌæbˈdəɫə
abe		ˈeɪb
abeam	ɐbˈiːm	
abed	ɐbˈɛd	əˈbɛd
abedi		əˈbɛdi
abee		əˈbi
abel		ˈeɪbəɫ
abela		ɑˈbɛɫə
abelard		ˈæbɪɫɝd
abele		əˈbɛɫ
abeles		ˈeɪbəˌɫiz
abell		ˈeɪbəɫ
abella		əˈbɛɫə
abeln		ˈæbɪɫn
abelow		ˈæbəɫoʊ
abels		ˈeɪbəɫz
abelson		ˈæbɪɫsən
abend		ˈæbɛnd
abendroth		ˈæbɪndɹɔθ
aber		ˈeɪbɝ
abercrombie		ˌæbɝˈkɹɑmbi
aberdeen		ˈæbɝˌdin
aberford		ˈeɪbɝfɝd
aberg		ˈæbɝɡ
aberle		ˈæbɝəɫ
abermin		ˈæbɝmɪn
abernathy		ˈæbɝˌnæθi
abernethy		ˈæbɝˌnɛθi
aberrant	ɐbˈɛɹənt	æˈbɛɹənt
aberration	ˌæbəɹˈeɪʃən	ˌæbɝˈeɪʃən
aberrational		ˌæbɝˈeɪʃənəɫ
aberrations	ˌæbəɹˈeɪʃənz	ˌæbɝˈeɪʃənz
abert		ˈæbɝt
abet	ɐbˈɛt	əˈbɛt
abetted	ɐbˈɛtɪd	əˈbɛtɪd
abetting	ɐbˈɛtɪŋ	əˈbɛtɪŋ
abex		ˈeɪbɛks
abeyance	ɐbˈeɪəns	əˈbeɪəns
abeyta		ɑˈbeɪtə
abhor	ɐbhˈɔː	æbˈhɔɹ
abhorred	ɐbhˈɔːd	əbˈhɔɹd
abhorrence	ɐbhˈɒɹəns	əbˈhɔɹəns
abhorrent	ɐbhˈɒɹənt	æbˈhɔɹənt
abhorring	ɐbhˈɔːɹɪŋ	
abhors	ɐbhˈɔːz	əbˈhɔɹz
abiam		ˈeɪbiəm
abiam's		ˈeɪbiəmz
abid		ˈeɪbɪd
abide	ɐbˈaɪd	əˈbaɪd
abided	ɐbˈaɪdɪd	əˈbaɪdɪd
abides	ɐbˈaɪdz	əˈbaɪdz
abiding	ɐbˈaɪdɪŋ	əˈbaɪdɪŋ
abidjan		æbɪˈdʒɑn
abie		ˈæbi
abies	ɐbˈaɪz	
abigail	ˈæbɪɡˌeɪl	ˈæbəˌɡeɪɫ
abila		ɑˈbiɫə
abilene		ˈæbɪˌɫin
abilities	ɐbˈɪlətˌiz	əˈbɪɫəˌtiz
ability	ɐbˈɪlətˌi	əˈbɪɫəˌti
abimael		ˌæbɪˈmeɪɫ
abimaels		ˌæbɪˈmeɪɫz
abingdon		ˈæbɪŋdən
abington		ˈæbɪŋtən
abio		ˈɑbioʊ
abiola		ˌɑbiˈoʊɫə
abiola's		ˌɑbiˈoʊɫəz
abiomed		eɪˈbiəmɛd
abiquiu		əˈbɪkju
abitibi		ˌæbɪˈtibi
abitz		ˈæbɪts
abject		ˈæbdʒɛkt
abjection	æbdʒˈɛkʃən	
abjectly	ˈæbdʒɛktli	
abjure	ɐbdʒjˈɔː	
abkhazia		æbˈkæzjə
abkhazian		æbˈkæziən
abkhazians		æbˈkæziənz
ablate		ˌəˈbɫeɪt
ablation	ɐblˈeɪtiən	ˌəˈbɫeɪʃən
ablaze	ɐblˈeɪz	əˈbɫeɪz
able	ˈeɪbəl	ˈeɪbəɫ
